Country,18–24,25–34,35–44,45–54,55–64,65–74,75+,Total
Argentina,0.907,0.889,0.869,0.849,0.829,0.796,0.724,0.856
Belgium,0.953,0.921,0.92,0.889,0.881,0.848,0.761,0.891
China,0.99,0.98,0.97,0.96,0.93,0.9,0.84,0.951
Denmark,0.914,0.914,0.881,0.861,0.845,0.818,0.753,0.866
Finland,NA,0.919,0.891,0.853,0.805,0.762,0.573,0.815
France,0.924,0.921,0.883,0.893,0.836,0.804,0.756,0.872
Germany,0.95,0.949,0.943,0.908,0.881,0.838,0.771,0.902
Greece,0.979,0.972,0.957,0.916,0.817,0.793,0.739,0.913
Hungary,0.934,0.911,0.873,0.802,0.755,0.716,0.639,0.823
Italy,0.969,0.956,0.943,0.91,0.877,0.823,0.724,0.899
Korea,0.957,0.958,0.949,0.915,0.828,0.787,NA,0.915
Netherlands,0.938,0.91,0.922,0.874,0.869,0.863,0.798,0.892
New Zealand,0.913,0.906,0.893,0.858,0.817,0.8,0.712,0.848
Slovenia,0.879,0.859,0.831,0.772,0.697,0.663,0.621,0.788
Spain,0.968,0.963,0.939,0.911,0.884,0.87,0.773,0.915
Sweden,0.888,0.893,0.868,0.835,0.813,0.836,0.701,0.851
Thailand,0.814,0.785,0.771,0.717,0.694,0.67,0.657,0.742
UK,0.934,0.922,0.905,0.849,0.804,0.785,0.734,0.856
UK—England,0.922,0.915,0.891,0.857,0.819,0.785,0.72,0.857
US,0.899,0.883,0.853,0.809,0.776,0.756,0.677,0.825
