"","df","AIC"
"lm_t",3,996.600372789199
"lm_t_a",4,942.627452298341
"lm_tpoly2",4,529.237201122413
"lm_t_apoly2",5,933.085301846132
"lm_tpoly2_a",5,476.304812881483
"lm_tpoly3",5,324.861158281131
"lm_tpoly3_a",6,269.29014050743
"lm_tpoly4",6,194.698769409903
"lm_tpoly4_a",7,134.524540364047
"lm_tpoly5",7,138.35377012344
"lm_tpoly5_a",8,78.0029436982897
"lm_tspl2",5,188.650612874366
"lm_tspl2_a",6,129.832392607044
"lm_tspl3",6,133.839236646616
"lm_tspl3_a",7,72.5682719205536
"lm_tspl8",11,111.488744309422
"lm_tspl8_a",12,51.0478913024581
"lmer_t_a_ri_p",5,-1353.22200171445
"lmer_t_a_ri_sp",6,-1414.43094067953
"lmer_tr_a_ri_rsl_p",7,-1963.67824460257
"lmer_tr_a_ri_rsl_sp",10,-2430.77603634096
"lmer_tr_apoly2_ri_rsl_sp",11,-2429.72692669895
"lmer_trpoly3_a_ri_rsl_sp",12,-3511.08221212468
"lmer_trpoly4_a_ri_rsl_sp",13,-3770.21102562045
"lmer_trpoly5_a_ri_rsl_sp",14,-3890.52389534227
"lmer_trspl2_a_ri_rsl_sp",12,-3785.2339837995
"lmer_trspl3_a_ri_rsl_sp",13,-3907.65425952246
"lmer_trspl4_a_ri_rsl_sp",14,-3900.41366403537
"lmer_trspl5_a_ri_rsl_sp",15,-3906.85744133323
"lmer_trspl6_a_ri_rsl_sp",16,-3903.01057513653
"lmer_trspl8_a_ri_rsl_sp",18,-3900.53345866698
"lmer_trspl3_a_ri_sp",9,-3194.67687721972
"lmer_trspl3_apoly2_ri_sp",10,-3193.5522069864
"lmer_trspl3_a_ri_rsl_p",10,-3694.12771238169
"lmer_trspl3_ri_rsl_sp",12,-3882.9380431186
"lmer_trpoly5_a_ri_rsl_p",11,-3678.52395495533
"lmer_trspl1_a_ri_rsl_sp_int",13,-3106.57670814841
"lmer_trspl2_a_ri_rsl_sp_int",15,-3823.44958486519
"lmer_trspl3_a_ri_rsl_sp_int",17,-3951.52255148658
"lmer_trspl1_a_ri_rsls_sp",17,-3733.3871626179
"lmer_trspl2_a_ri_rsls_sp",26,-4704.3647254477
"lmer_trspl3_a_ri_rsls_sp",37,-5349.00342640162
"lmer_trspl3_apoly2_ri_rsl_sp",14,-3907.08793159788
