Agp,Cluster,mu,std,N,Prop
"[0,30)",0,1,0,2,0.05405405405405406
"[0,30)",1,0.7553461538461539,0.09050257114919656,26,0.7027027027027027
"[0,30)",2,0.059222222222222225,0.1592040968205418,9,0.24324324324324326
"[30,35)",0,1,0,3,0.13636363636363635
"[30,35)",1,0.7824705882352941,0.07147562315840524,17,0.7727272727272727
"[30,35)",2,-0.09599999999999999,0.35779603128039306,2,0.09090909090909091
"[35,40)",1,0.7322500000000001,0.08539672124853509,16,0.7272727272727273
"[35,40)",2,0.24416666666666667,0.10260295642264244,6,0.2727272727272727
"[40,45)",0,1,NA,1,0.02857142857142857
"[40,45)",1,0.7490370370370371,0.08631716180257797,27,0.7714285714285715
"[40,45)",2,0.20685714285714285,0.21231221394558578,7,0.2
"[45,50)",0,1,0,14,0.2545454545454545
"[45,50)",1,0.7295641025641025,0.08961314367640583,39,0.7090909090909091
"[45,50)",2,0.388,0.036769552621700466,2,0.03636363636363636
"[50,55)",0,1,0,99,0.11633372502937721
"[50,55)",1,0.7370809968847352,0.09284381890315076,642,0.754406580493537
"[50,55)",2,0.11617272727272727,0.17147427972489823,110,0.12925969447708577
"[55,60)",0,1,0,141,0.13729308666017526
"[55,60)",1,0.7458911917098445,0.08865759825170579,772,0.7517039922103214
"[55,60)",2,0.08687719298245615,0.1829784135607779,114,0.11100292112950341
"[60,65)",0,1,0,123,0.14783653846153846
"[60,65)",1,0.7538530405405406,0.0890230698300989,592,0.7115384615384616
"[60,65)",2,0.07996581196581197,0.23796395451557042,117,0.140625
"[65,70)",0,1,0,117,0.1352601156069364
"[65,70)",1,0.7406503816793893,0.09627768625517133,655,0.7572254335260116
"[65,70)",2,0.14648387096774193,0.16634697974958626,93,0.10751445086705202
"[70,75)",0,1,0,64,0.0962406015037594
"[70,75)",1,0.7294702380952381,0.1081412406970894,504,0.7578947368421053
"[70,75)",2,0.07165979381443299,0.2337332385522515,97,0.14586466165413534
"[75,80)",0,1,0,68,0.13076923076923078
"[75,80)",1,0.7401468354430379,0.09557362861246325,395,0.7596153846153846
"[75,80)",2,0.11587719298245613,0.19113402834655047,57,0.10961538461538461
"[80,85)",0,1,0,24,0.07453416149068323
"[80,85)",1,0.7501695652173913,0.08357718465328899,230,0.7142857142857143
"[80,85)",2,0.10695588235294118,0.20531209834317,68,0.2111801242236025
"[85,90)",0,1,0,13,0.0962962962962963
"[85,90)",1,0.7180967741935483,0.10721038485107612,93,0.6888888888888889
"[85,90)",2,-0.018448275862068955,0.30250614943063514,29,0.21481481481481482
"[90,100)",0,1,0,4,0.08163265306122448
"[90,100)",1,0.7178484848484848,0.09397011533332061,33,0.673469387755102
"[90,100)",2,0.13283333333333336,0.10992297578786976,12,0.24489795918367346
All,0,1,0,673,0.12378149714916314
All,1,0.7415978718139075,0.09435516107353259,4041,0.7432407577708295
All,2,0.09900414937759336,0.20667926825726174,723,0.13297774508000737
